"student_num";"time";"area"
"239609";"2018";"山东"
"262013";"2018";"河南"
"203965";"2018";"湖北"
"164199";"2018";"湖南"
"253961";"2018";"广东"
"97498";"2018";"广西"
"24856";"2018";"海南"
"105300";"2018";"重庆"
"186361";"2018";"四川"
"69877";"2018";"贵州"
"95714";"2018";"云南"
"5609";"2018";"西藏"
"169633";"2018";"陕西"
"70587";"2018";"甘肃"
"8331";"2018";"青海"
"17892";"2018";"宁夏"
"34542";"2018";"新疆"
"121066";"2019";"北京"
"79655";"2019";"天津"
"174547";"2019";"河北"
"121113";"2019";"山西"
"60353";"2019";"内蒙"
"165262";"2019";"辽宁"
"116628";"2019";"吉林"
"122745";"2019";"黑龙江"
"85641";"2019";"上海"
"266596";"2019";"江苏"
"151734";"2019";"浙江"
"157643";"2019";"安徽"
"121645";"2019";"福建"
"122933";"2019";"江西"
"244719";"2019";"山东"
"276666";"2019";"河南"
"207828";"2019";"湖北"
"166655";"2019";"湖南"
"267550";"2019";"广东"
"108080";"2019";"广西"
"25748";"2019";"海南"
"108837";"2019";"重庆"
"206829";"2019";"四川"
"67065";"2019";"贵州"
"101738";"2019";"云南"
"5968";"2019";"西藏"
"160501";"2019";"陕西"
"68928";"2019";"甘肃"
"8570";"2019";"青海"
"17975";"2019";"宁夏"
"35939";"2019";"新疆"
"302728";"2020";"河南"
"124729";"2020";"北京"
"84316";"2020";"天津"
"192224";"2020";"河北"
"129035";"2020";"山西"
"64977";"2020";"内蒙"
"168423";"2020";"辽宁"
"120607";"2020";"吉林"
"127638";"2020";"黑龙江"
"91637";"2020";"上海"
"281438";"2020";"江苏"
"152455";"2020";"浙江"
"166654";"2020";"安徽"
"124411";"2020";"福建"
"134251";"2020";"江西"
"274840";"2020";"山东"
"218641";"2020";"湖北"
"175258";"2020";"湖南"
"274415";"2020";"广东"
"119756";"2020";"广西"
"27431";"2020";"海南"
"112852";"2020";"重庆"
"222385";"2020";"四川"
"84786";"2020";"贵州"
"117049";"2020";"云南"
"6020";"2020";"西藏"
"167048";"2020";"陕西"
"71341";"2020";"甘肃"
"9224";"2020";"青海"
"18623";"2020";"宁夏"
"39905";"2020";"新疆"
