"ts_code";"symbol";"name";"area";"industry";"fullname";"enname";"market";"exchange";"curr_type";"list_status";"list_date";"delist_date";"is_hs";"live_year"
"603982.SH";"603982";"泉峰汽车";"江苏";"汽车配件";"南京泉峰汽车精密技术股份有限公司";"Nanjing Chervon Auto Precision Technology Co.,Ltd";"主板";"SSE";"CNY";"L";"2019";"";"H";"3"
"603983.SH";"603983";"丸美股份";"广东";"日用化工";"广东丸美生物技术股份有限公司";"Guangdong Marubi Biotechnology Co., Ltd";"主板";"SSE";"CNY";"L";"2019";"";"N";"3"
"603985.SH";"603985";"恒润股份";"江苏";"机械基件";"江阴市恒润重工股份有限公司";"Jiangyin Hengrun Heavy Industries Co.,Ltd";"主板";"SSE";"CNY";"L";"2017";"";"H";"5"
"603986.SH";"603986";"兆易创新";"北京";"半导体";"北京兆易创新科技股份有限公司";"Gigadevice Semiconductor(Beijing)Inc.";"主板";"SSE";"CNY";"L";"2016";"";"H";"6"
"603987.SH";"603987";"康德莱";"上海";"医疗保健";"上海康德莱企业发展集团股份有限公司";"Shanghai Kindly Enterprise Development Group Co.,Ltd.";"主板";"SSE";"CNY";"L";"2016";"";"N";"6"
"603988.SH";"603988";"中电电机";"江苏";"电气设备";"中电电机股份有限公司";"SEC Electric Machinery Co., Ltd.";"主板";"SSE";"CNY";"L";"2014";"";"N";"8"
"603989.SH";"603989";"艾华集团";"湖南";"元器件";"湖南艾华集团股份有限公司";"Hunan Aihua Group Co.,Ltd.";"主板";"SSE";"CNY";"L";"2015";"";"H";"7"
"603990.SH";"603990";"麦迪科技";"江苏";"软件服务";"苏州麦迪斯顿医疗科技股份有限公司";"Suzhou Medicalsystem Technology Co.,Ltd.";"主板";"SSE";"CNY";"L";"2016";"";"N";"6"
"603991.SH";"603991";"至正股份";"广东";"塑料";"深圳至正高分子材料股份有限公司";"Shenzhen Original Advanced Compounds Co., Ltd.";"主板";"SSE";"CNY";"L";"2017";"";"N";"5"
"603992.SH";"603992";"松霖科技";"福建";"家居用品";"厦门松霖科技股份有限公司";"Xiamen Solex High-Tech Industries Co., Ltd.";"主板";"SSE";"CNY";"L";"2019";"";"N";"3"
"603993.SH";"603993";"洛阳钼业";"河南";"小金属";"洛阳栾川钼业集团股份有限公司";"China Molybdenum Co.,Ltd.";"主板";"SSE";"CNY";"L";"2012";"";"H";"10"
"603995.SH";"603995";"甬金股份";"浙江";"特种钢";"浙江甬金金属科技股份有限公司";"Zhejiang Yongjin Metal Technology Co., Ltd";"主板";"SSE";"CNY";"L";"2019";"";"N";"3"
"603996.SH";"603996";"*ST中新";"浙江";"家用电器";"中新科技集团股份有限公司";"Chunghsin Technology Group Co., Ltd";"主板";"SSE";"CNY";"L";"2015";"";"N";"7"
"603997.SH";"603997";"继峰股份";"浙江";"汽车配件";"宁波继峰汽车零部件股份有限公司";"Ningbo Jifeng Auto Parts Co., Ltd.";"主板";"SSE";"CNY";"L";"2015";"";"H";"7"
"603998.SH";"603998";"方盛制药";"湖南";"中成药";"湖南方盛制药股份有限公司";"Hunan Fangsheng Pharmaceutical Co.,Ltd.";"主板";"SSE";"CNY";"L";"2014";"";"N";"8"
"603999.SH";"603999";"读者传媒";"甘肃";"出版业";"读者出版传媒股份有限公司";"Duzhe Publish&Media Co.,Ltd";"主板";"SSE";"CNY";"L";"2015";"";"N";"7"
"605001.SH";"605001";"威奥股份";"山东";"运输设备";"青岛威奥轨道股份有限公司";"Qingdao Victall Railway Co., Ltd.";"主板";"SSE";"CNY";"L";"2020";"";"N";"2"
