"ppe_ta";"ts_code";"time"
"0.992887";"000048";"2019"
"0.996849";"000048";"2020"
"0.965813";"000049";"2009"
"0.989551";"000049";"2010"
"0.981242";"000049";"2011"
"0.986269";"000049";"2012"
"0.992919";"000049";"2013"
"0.990026";"000049";"2014"
"0.986255";"000049";"2015"
"0.987919";"000049";"2016"
"0.992239";"000049";"2017"
"0.993639";"000049";"2018"
"0.979608";"000049";"2019"
"0.976112";"000049";"2020"
"0.97048";"000050";"2009"
"0.973406";"000050";"2010"
"0.973972";"000050";"2011"
"0.973639";"000050";"2012"
"0.974649";"000050";"2013"
"0.945083";"000050";"2014"
"0.943323";"000050";"2015"
"0.939415";"000050";"2016"
"0.956574";"000050";"2017"
"0.959494";"000050";"2018"
"0.964234";"000050";"2019"
"0.966884";"000050";"2020"
"0.941552";"000055";"2009"
"0.938363";"000055";"2010"
"0.945086";"000055";"2011"
"0.956018";"000055";"2012"
"0.964791";"000055";"2013"
"0.96581";"000055";"2014"
"0.974264";"000055";"2015"
"0.991126";"000055";"2016"
"0.99228";"000055";"2017"
"0.992465";"000055";"2018"
"0.993111";"000055";"2019"
"0.993495";"000055";"2020"
"1";"000056";"2009"
"0.982963";"000056";"2010"
"0.983506";"000056";"2011"
"0.999718";"000056";"2012"
"0.999922";"000056";"2013"
"0.999811";"000056";"2014"
"0.999808";"000056";"2015"
"0.99984";"000056";"2016"
"0.997254";"000056";"2017"
"0.99893";"000056";"2018"
"0.999206";"000056";"2019"
"0.997414";"000056";"2020"
"0.988904";"000058";"2009"
"0.992525";"000058";"2010"
"0.993493";"000058";"2011"
"0.993806";"000058";"2012"
"0.994747";"000058";"2013"
"0.99587";"000058";"2014"
"0.995612";"000058";"2015"
"0.995455";"000058";"2016"
"0.993971";"000058";"2017"
"0.995445";"000058";"2018"
"0.99448";"000058";"2019"
"0.986344";"000058";"2020"
"0.882973";"000060";"2009"
"0.793725";"000060";"2010"
"0.760415";"000060";"2011"
"0.735722";"000060";"2012"
"0.741676";"000060";"2013"
"0.747295";"000060";"2014"
"0.780154";"000060";"2015"
"0.795886";"000060";"2016"
"0.825494";"000060";"2017"
"0.838212";"000060";"2018"
"0.834539";"000060";"2019"
"0.866962";"000060";"2020"
"0.86615";"000061";"2009"
"0.87135";"000061";"2010"
"0.8331";"000061";"2011"
"0.841056";"000061";"2012"
"0.831897";"000061";"2013"
"0.789949";"000061";"2014"
"0.816102";"000061";"2015"
"0.878061";"000061";"2016"
"0.882787";"000061";"2017"
"0.892431";"000061";"2018"
"0.909745";"000061";"2019"
"0.91655";"000061";"2020"
"0.957845";"000062";"2009"
"0.963081";"000062";"2010"
"0.96876";"000062";"2011"
"0.974129";"000062";"2012"
"0.973558";"000062";"2013"
"0.950966";"000062";"2014"
"0.835049";"000062";"2015"
"0.855781";"000062";"2016"
"0.791255";"000062";"2017"
"0.802816";"000062";"2018"
"0.822165";"000062";"2019"
"0.834269";"000062";"2020"
"0.991019";"000063";"2009"
"0.989409";"000063";"2010"
"0.988659";"000063";"2011"
"0.989883";"000063";"2012"
"0.987642";"000063";"2013"
"0.987151";"000063";"2014"
"0.965057";"000063";"2015"
"0.967945";"000063";"2016"
"0.964918";"000063";"2017"
"0.932395";"000063";"2018"
"0.944016";"000063";"2019"
"0.936579";"000063";"2020"
"0.99983";"000065";"2009"
"0.999915";"000065";"2010"
"0.999985";"000065";"2011"
"0.999875";"000065";"2012"
"0.999821";"000065";"2013"
"0.938661";"000065";"2014"
"0.876734";"000065";"2015"
"0.891387";"000065";"2016"
"0.876016";"000065";"2017"
"0.847271";"000065";"2018"
"0.883842";"000065";"2019"
"0.907464";"000065";"2020"
"0.980626";"000066";"2009"
"0.982913";"000066";"2010"
"0.976443";"000066";"2011"
"0.94137";"000066";"2012"
"0.954524";"000066";"2013"
"0.974805";"000066";"2014"
"0.975152";"000066";"2015"
"0.996798";"000066";"2016"
"0.971986";"000066";"2017"
"0.968949";"000066";"2018"
"0.977784";"000066";"2019"
"0.980375";"000066";"2020"
"0.937651";"000068";"2009"
"0.902332";"000068";"2010"
"0.893819";"000068";"2011"
"0.90454";"000068";"2012"
"0.932934";"000068";"2013"
"0.885517";"000068";"2014"
"0.905545";"000068";"2015"
"0.947091";"000068";"2016"
"0.975988";"000068";"2017"
"0.984284";"000068";"2018"
"0.967658";"000068";"2019"
"0.972297";"000068";"2020"
"0.922176";"000069";"2009"
"0.925668";"000069";"2010"
"0.927561";"000069";"2011"
