"education_val";"time";"province"
"0.03294212461592706";"2008";"广西"
"0.040123919452355966";"2007";"广西"
"0.04569305314955688";"2006";"广西"
"0.039990142525605496";"2005";"广西"
"0.05184078926526826";"2004";"广西"
"0.045156920298035676";"2003";"广西"
"0.03479147778785131";"2002";"广西"
"0.08320673133107398";"2019";"贵州"
"0.09298501326755615";"2018";"贵州"
"0.09571433863021818";"2017";"贵州"
"0.0701089356690711";"2016";"贵州"
"0.08453907727668132";"2015";"贵州"
"0.103809738503156";"2014";"贵州"
"0.09091592438080204";"2013";"贵州"
"0.06565808243862152";"2012";"贵州"
"0.08240115184405804";"2011";"贵州"
"0.055940695667323";"2010";"贵州"
"0.033107286801868085";"2009";"贵州"
"0.035049981019865874";"2008";"贵州"
"0.03215393776050644";"2007";"贵州"
"0.027182271885495466";"2006";"贵州"
"0.03322212459244524";"2005";"贵州"
"0.04474208353779984";"2004";"贵州"
"0.05287475815068295";"2003";"贵州"
"0.03520178058923446";"2002";"贵州"
"0.14701536643026006";"2019";"海南"
"0.16650120550276556";"2018";"海南"
"0.131192005710207";"2017";"海南"
"0.09734261759272417";"2016";"海南"
"0.10853409997907738";"2015";"海南"
"0.08130676823908585";"2014";"海南"
"0.08778682457438934";"2013";"海南"
"0.1024656725232541";"2012";"海南"
"0.07684441197954711";"2011";"海南"
"0.0709321378268901";"2010";"海南"
"0.0687785388127854";"2009";"海南"
"0.05773868633848773";"2008";"海南"
"0.06261381145818742";"2007";"海南"
"0.05426683537185435";"2006";"海南"
"0.054506344601661635";"2005";"海南"
"0.05213721753335148";"2004";"海南"
"0.057794057794057795";"2003";"海南"
"0.035886154269214904";"2002";"海南"
"0.11315319257557525";"2019";"河北"
"0.1119861999268178";"2018";"河北"
"0.09987637338719507";"2017";"河北"
"0.10306820537626978";"2016";"河北"
"0.10207661303560324";"2015";"河北"
"0.07942347877337429";"2014";"河北"
"0.07734161758368051";"2013";"河北"
"0.05787551035026144";"2012";"河北"
"0.05365355135411344";"2011";"河北"
"0.053301674412036";"2010";"河北"
"0.056168453239284905";"2009";"河北"
"0.04808217308217308";"2008";"河北"
"0.04158053475210952";"2007";"河北"
"0.039318479685452164";"2006";"河北"
"0.047312803859144076";"2005";"河北"
"0.058941058941058944";"2004";"河北"
"0.06601154962830616";"2003";"河北"
"0.0468620182782642";"2002";"河北"
"0.10743192461120425";"2019";"河南"
"0.09374177369522146";"2018";"河南"
"0.08658544979007503";"2017";"河南"
"0.07960077566684295";"2016";"河南"
"0.08743544186294015";"2015";"河南"
"0.10361821321764036";"2014";"河南"
"0.08091242568621664";"2013";"河南"
"0.06660003886621693";"2012";"河南"
