"ts_code";"bigdata_num";"data_warehouse";"cloud_computing";"information_assets";"digitization";"ann_date";"year"
"600787";"0";"0";"0";"0";"0";"2010";"2010"
"600787";"0";"0";"0";"0";"0";"2011";"2011"
"600596";"0";"0";"0";"0";"0";"2019";"2019"
"600597";"0";"0";"0";"0";"0";"2009";"2009"
"603338";"0";"0";"0";"0";"0";"2018";"2018"
"603338";"0";"0";"0";"0";"0";"2019";"2019"
"603338";"0";"0";"0";"0";"0";"2020";"2020"
"600597";"0";"0";"0";"0";"0";"2010";"2010"
"600597";"0";"0";"0";"0";"0";"2011";"2011"
"000506";"0";"0";"0";"0";"0";"2018";"2018"
"000506";"0";"0";"0";"0";"0";"2019";"2019"
"603339";"0";"0";"0";"0";"0";"2016";"2016"
"603339";"0";"0";"0";"0";"0";"2017";"2017"
"000507";"0";"0";"0";"0";"6";"2009";"2009"
"000507";"0";"0";"0";"0";"4";"2010";"2010"
"000507";"0";"0";"0";"0";"0";"2011";"2011"
"603339";"0";"0";"0";"0";"0";"2018";"2018"
"603339";"0";"0";"0";"0";"0";"2019";"2019"
"603345";"0";"0";"0";"0";"0";"2016";"2016"
"600597";"0";"0";"0";"0";"0";"2012";"2012"
"000507";"0";"0";"0";"0";"1";"2012";"2012"
"000507";"0";"0";"0";"0";"0";"2013";"2013"
"600597";"0";"0";"0";"0";"0";"2013";"2013"
"603345";"0";"0";"0";"0";"0";"2017";"2017"
"603345";"0";"0";"0";"0";"0";"2018";"2018"
"000507";"0";"0";"0";"0";"0";"2014";"2014"
"600597";"0";"0";"0";"0";"0";"2014";"2014"
"603345";"0";"0";"0";"0";"0";"2019";"2019"
"000507";"0";"0";"0";"0";"0";"2015";"2015"
"000507";"0";"0";"0";"0";"0";"2016";"2016"
"600597";"0";"0";"0";"0";"0";"2015";"2015"
"600787";"0";"0";"0";"0";"1";"2012";"2012"
"603348";"0";"0";"0";"0";"0";"2018";"2018"
"603348";"0";"0";"0";"0";"0";"2020";"2020"
"600787";"0";"0";"0";"0";"0";"2013";"2013"
"600597";"0";"0";"0";"0";"0";"2016";"2016"
"600787";"0";"0";"0";"0";"0";"2014";"2014"
"600597";"0";"0";"0";"0";"0";"2017";"2017"
