"roa_val";"time";"ts_code"
"0.051641";"2017";"000301"
"0.038712";"2018";"000301"
"0.046006";"2019";"000301"
"0.004969";"2020";"000301"
"0.082405";"2008";"000338"
"0.108993";"2009";"000338"
"0.153358";"2010";"000338"
"0.10269";"2011";"000338"
"0.048767";"2012";"000338"
"0.048619";"2013";"000338"
"0.048039";"2014";"000338"
"0.018827";"2015";"000338"
"0.02193";"2016";"000338"
"0.048399";"2017";"000338"
"0.056635";"2018";"000338"
"0.050276";"2019";"000338"
"0.041643";"2020";"000338"
"0.021695";"2008";"000400"
"0.050058";"2009";"000400"
"0.042959";"2010";"000400"
"0.043015";"2011";"000400"
"0.082237";"2012";"000400"
"0.092894";"2013";"000400"
"0.119463";"2014";"000400"
"0.064534";"2015";"000400"
"0.065764";"2016";"000400"
"0.044536";"2017";"000400"
"0.018777";"2018";"000400"
"0.032768";"2019";"000400"
"0.047758";"2020";"000400"
"0.040972";"2008";"000401"
"0.04924";"2009";"000401"
"0.051847";"2010";"000401"
"0.04154";"2011";"000401"
"0.003325";"2012";"000401"
"0.004611";"2013";"000401"
"-0.006299";"2014";"000401"
"-0.05209";"2015";"000401"
"-0.00057";"2016";"000401"
"0.003196";"2017";"000401"
"0.041289";"2018";"000401"
"0.080757";"2019";"000401"
"0.087937";"2020";"000401"
"0.037778";"2008";"000402"
"0.032442";"2009";"000402"
"0.03385";"2010";"000402"
"0.034454";"2011";"000402"
"0.038505";"2012";"000402"
"0.046273";"2013";"000402"
"0.035536";"2014";"000402"
"0.021433";"2015";"000402"
"0.024953";"2016";"000402"
"0.032765";"2017";"000402"
"0.027184";"2018";"000402"
"0.025438";"2019";"000402"
"0.013111";"2020";"000402"
"0.152978";"2008";"000403"
"-0.031955";"2009";"000403"
"-0.011789";"2010";"000403"
"0.004109";"2011";"000403"
"0.002374";"2012";"000403"
"0.053915";"2013";"000403"
"0.089572";"2014";"000403"
"0.052825";"2015";"000403"
"0.03196";"2016";"000403"
"0.011544";"2017";"000403"
"0.056878";"2018";"000403"
"0.124121";"2019";"000403"
"0.110542";"2020";"000403"
"0.035195";"2008";"000404"
"0.063568";"2009";"000404"
"0.021469";"2010";"000404"
"0.017076";"2011";"000404"
"0.036621";"2012";"000404"
"0.039853";"2013";"000404"
"0.043844";"2014";"000404"
"0.047574";"2015";"000404"
"0.048845";"2016";"000404"
"0.021256";"2017";"000404"
"0.016226";"2018";"000404"
"0.009759";"2019";"000404"
"0.016611";"2020";"000404"
"0.142872";"2008";"000407"
"0.099365";"2009";"000407"
"0.107701";"2010";"000407"
"0.001987";"2011";"000407"
"-0.043889";"2012";"000407"
"0.014571";"2013";"000407"
"0.012915";"2014";"000407"
"0.009988";"2015";"000407"
"-0.075581";"2016";"000407"
"0.024321";"2017";"000407"
"0.028301";"2018";"000407"
"0.031333";"2019";"000407"
"0.031934";"2020";"000407"
"-0.160202";"2008";"000408"
"-0.315136";"2009";"000408"
"0.073708";"2010";"000408"
"0.013266";"2011";"000408"
"0.010731";"2012";"000408"
"0.028455";"2013";"000408"
"-0.12142";"2014";"000408"
"-0.130595";"2015";"000408"
"0.124885";"2016";"000408"
"0.157134";"2017";"000408"
"0.090584";"2018";"000408"
"0.031965";"2019";"000408"
"0.026377";"2020";"000408"
"0.042097";"2008";"000409"
"-0.265396";"2009";"000409"
"-0.117317";"2010";"000409"
"0.119549";"2011";"000409"
"0.067242";"2012";"000409"
"0.071652";"2013";"000409"
"-0.008902";"2014";"000409"
"0.021733";"2015";"000409"
"-0.030946";"2016";"000409"
"-0.04541";"2017";"000409"
"0.026565";"2018";"000409"
"-0.227375";"2019";"000409"
"0.099763";"2020";"000409"
"0.027556";"2008";"000411"
"0.034433";"2009";"000411"
"0.035461";"2010";"000411"
"0.104333";"2011";"000411"
"0.034961";"2012";"000411"
"0.035179";"2013";"000411"
"0.024631";"2014";"000411"
"0.025127";"2015";"000411"
"0.027462";"2016";"000411"
"0.021077";"2017";"000411"
"0.024895";"2018";"000411"
"0.031355";"2019";"000411"
"0.030471";"2020";"000411"
"0.012052";"2008";"000413"
"-0.090024";"2009";"000413"
"0.010845";"2010";"000413"
"0.032438";"2011";"000413"
"0.116907";"2012";"000413"
"0.045339";"2013";"000413"
"0.072919";"2014";"000413"
"0.048354";"2015";"000413"
"0.027987";"2016";"000413"
"0.028646";"2017";"000413"
"0.031261";"2018";"000413"
"-0.022995";"2019";"000413"
"-0.053565";"2020";"000413"
"-0.081617";"2008";"000415"
"-0.074044";"2009";"000415"
"0.001635";"2010";"000415"
"0.019726";"2011";"000415"
"0.021026";"2012";"000415"
