"assets";"ts_code";"time"
"34423044803.15";"000040";"2019"
"28903531696.82";"000040";"2018"
"17287967224.95";"000040";"2017"
"6768909271.05";"000040";"2016"
"4269813106.09";"000040";"2015"
"3960575985.28";"000040";"2014"
"2868350341.21";"000040";"2013"
"1888141595.1";"000040";"2012"
"2283416351.06";"000040";"2011"
"2831794510.76";"000040";"2010"
"2358091017.85";"000040";"2009"
"46050688700.65";"000042";"2019"
"43619885474.24";"000042";"2018"
"29161608501.95";"000042";"2017"
"24621393457.39";"000042";"2016"
"16196337801.76";"000042";"2015"
"7998173391.93";"000042";"2014"
"7516712220.95";"000042";"2013"
"7147626391.74";"000042";"2012"
"6789912512.6";"000042";"2011"
"6480719811.97";"000042";"2010"
"5548805887.49";"000042";"2009"
"4619203416.79";"000045";"2019"
"4195746507.56";"000045";"2018"
"4119586266.47";"000045";"2017"
"2969394978.7";"000045";"2016"
"2822783501.87";"000045";"2015"
"2851759735.91";"000045";"2014"
"1880660667.21";"000045";"2013"
"1808226905.67";"000045";"2012"
"1655422298.41";"000045";"2011"
"802562856.93";"000045";"2010"
"565791088.77";"000045";"2009"
"212096668235.22";"000046";"2019"
"187775062711.27";"000046";"2018"
"167835999425.01";"000046";"2017"
"118356200350.18";"000046";"2016"
"70889108573.14";"000046";"2015"
"40738039058.4";"000046";"2014"
"30934760741.08";"000046";"2013"
"23437130835.76";"000046";"2012"
"22345892750.91";"000046";"2011"
"22740909302.54";"000046";"2010"
"19821858906.56";"000046";"2009"
"5182504077.75";"000048";"2019"
"3904776967.49";"000048";"2018"
"1959736873.69";"000048";"2017"
"1940801275.08";"000048";"2016"
"1982938749.22";"000048";"2015"
"1330565566.9";"000048";"2014"
"1211733976.21";"000048";"2013"
"1239461893.57";"000048";"2012"
"769250354.39";"000048";"2011"
"866077532.65";"000048";"2010"
"1256169239.81";"000048";"2009"
"8822025314";"000049";"2019"
"7619067450.01";"000049";"2018"
"5145792230.51";"000049";"2017"
"3402574472.52";"000049";"2016"
"4675603417.17";"000049";"2015"
"3371093018.1";"000049";"2014"
"1861265599.16";"000049";"2013"
"1419285853.81";"000049";"2012"
"850322005.63";"000049";"2011"
"654663928.15";"000049";"2010"
"611818377";"000049";"2009"
"60036990054.02";"000050";"2019"
"29652260560.19";"000050";"2018"
"21679336300.21";"000050";"2017"
"21628692218";"000050";"2016"
"15692498583";"000050";"2015"
"7976761304";"000050";"2014"
"7803188441";"000050";"2013"
"8052164501";"000050";"2012"
"7971514291";"000050";"2011"
"6476071723.27";"000050";"2010"
"5023227934.09";"000050";"2009"
"10658854133.73";"000055";"2019"
"7625422688.63";"000055";"2018"
"6787051278.08";"000055";"2017"
"4464147811.4";"000055";"2016"
"3662719900.41";"000055";"2015"
"2599557542.57";"000055";"2014"
"2327802889.51";"000055";"2013"
"2163325598.14";"000055";"2012"
"1991161158.84";"000055";"2011"
"1482814012.11";"000055";"2010"
"1395570931.42";"000055";"2009"
"13254846349.11";"000056";"2019"
"14169679684.21";"000056";"2018"
"10640504286.57";"000056";"2017"
"7995714299.09";"000056";"2016"
"7871959541.86";"000056";"2015"
"7803283696";"000056";"2014"
"2006481401.06";"000056";"2013"
"1540793887.39";"000056";"2012"
"1540732957.65";"000056";"2011"
"1447489692.07";"000056";"2010"
"1126126509.48";"000056";"2009"
"7128009738.2";"000058";"2019"
"6992590420.75";"000058";"2018"
"2548276265.32";"000058";"2017"
"2614660524.37";"000058";"2016"
"2659717718.28";"000058";"2015"
"2134940597.85";"000058";"2014"
"1740697285.2";"000058";"2013"
"1673584777.35";"000058";"2012"
"1466272625.92";"000058";"2011"
"1359490387.43";"000058";"2010"
"1579346581.33";"000058";"2009"
"32460677530.24";"000059";"2019"
"30968148869.91";"000059";"2018"
"31370608575.54";"000059";"2017"
"29920285426.35";"000059";"2016"
"34597604045.13";"000059";"2015"
"28444026904.2";"000059";"2014"
"32753278378.97";"000059";"2013"
"28536360950.85";"000059";"2012"
"26536417786.03";"000059";"2011"
"21436218956.14";"000059";"2010"
"16762826050.6";"000059";"2009"
"19506332203.2";"000060";"2019"
"18868841945.67";"000060";"2018"
"16969105940.73";"000060";"2017"
"15882835627.42";"000060";"2016"
"14215785394.62";"000060";"2015"
"14449665050.75";"000060";"2014"
"14073180901.43";"000060";"2013"
"14042400232.49";"000060";"2012"
"14570879433.7";"000060";"2011"
"11647009389.99";"000060";"2010"
"7934848027.78";"000060";"2009"
"18999687796.24";"000061";"2019"
"18843433038.79";"000061";"2018"
"17249187728.53";"000061";"2017"
"16131480258.2";"000061";"2016"
"13805158178.31";"000061";"2015"
"12223389831.94";"000061";"2014"
"10616638777.15";"000061";"2013"
"9468941884.83";"000061";"2012"
"9112759008.27";"000061";"2011"
"7011003579.4";"000061";"2010"
"6154610506.52";"000061";"2009"
"10301894440.15";"000062";"2019"
"8565499641.85";"000062";"2018"
"6922645147.29";"000062";"2017"
"6182360311.87";"000062";"2016"
"4046140047.55";"000062";"2015"
"4873478785.22";"000062";"2014"
"4997949379.35";"000062";"2013"
"4663795673.55";"000062";"2012"
"3826243933.66";"000062";"2011"
"2749102691.76";"000062";"2010"
"2049509770.97";"000062";"2009"
"129350749000";"000063";"2019"
"143962215000";"000063";"2018"
"141640910000";"000063";"2017"
"120893897000";"000063";"2016"
"106214196000";"000063";"2015"
"100079497000";"000063";"2014"
"107446306000";"000063";"2013"
"105368114000";"000063";"2012"
"84152357000";"000063";"2011"
"68342322000";"000063";"2010"
"50865921000";"000063";"2009"
"11447974207.61";"000065";"2019"
"11464595733.06";"000065";"2018"
"12148177174.86";"000065";"2017"
"6617550768.13";"000065";"2016"
"4917983848.76";"000065";"2015"
"3982520674.02";"000065";"2014"
"3189577968";"000065";"2013"
"2330135574.29";"000065";"2012"
"1953165292.99";"000065";"2011"
"2338500037.53";"000065";"2010"
"2207783192.48";"000065";"2009"
"16002223272.55";"000066";"2019"
"15201583868.55";"000066";"2018"
"40860876598.04";"000066";"2017"
"39456067228.4";"000066";"2016"
"39715144725.2";"000066";"2015"
"39225526460.61";"000066";"2014"
"39183620435.79";"000066";"2013"
"32800295564.5";"000066";"2012"
"33380475422.95";"000066";"2011"
"27445435405.47";"000066";"2010"
"2551052614.71";"000066";"2009"
"3443687264.26";"000068";"2019"
"2803698323.72";"000068";"2018"
"1313724067.11";"000068";"2017"
"757877879.31";"000068";"2016"
"420734829.16";"000068";"2015"
"591598429.88";"000068";"2014"
"426257897";"000068";"2013"
"392778152.54";"000068";"2012"
"437401642.32";"000068";"2011"
"701449567.19";"000068";"2010"
"3156683811.51";"000068";"2009"
"294167136809.8";"000069";"2019"
"217463411954.55";"000069";"2018"
"146344889013.21";"000069";"2017"
"115266174371.48";"000069";"2016"
"94875367925.37";"000069";"2015"
"87878764490.05";"000069";"2014"
"72998225434.54";"000069";"2013"
"62761819483.43";"000069";"2012"
"48538233403.44";"000069";"2011"
"30744801789.2";"000069";"2010"
"13946928365";"000069";"2009"
"7553084393.04";"000070";"2019"
"6087089921.21";"000070";"2018"
"5065491995.83";"000070";"2017"
"4044451264.93";"000070";"2016"
"2608137126.19";"000070";"2015"
"2253466927.67";"000070";"2014"
"1991671137.14";"000070";"2013"
"1820338539.59";"000070";"2012"
"1596350046.72";"000070";"2011"
"1227792146.68";"000070";"2010"
"1127105656.3";"000070";"2009"
"41126743376.46";"000078";"2019"
"30864382532.57";"000078";"2018"
"16661466476.44";"000078";"2017"
"12762259215.31";"000078";"2016"
"9631706545.91";"000078";"2015"
"8019242139.7";"000078";"2014"
"5863516482.67";"000078";"2013"
"4835321705.67";"000078";"2012"
"4147788796.75";"000078";"2011"
"3164752975.98";"000078";"2010"
"2777538083.82";"000078";"2009"
"10309702915.27";"000088";"2019"
"9296003914.44";"000088";"2018"
"8257125681.51";"000088";"2017"
"7878828154.69";"000088";"2016"
"6825954146.11";"000088";"2015"
"5587084672.07";"000088";"2014"
"5292636082.54";"000088";"2013"
"5414183518.52";"000088";"2012"
"4975276391.96";"000088";"2011"
"4863142833.55";"000088";"2010"
"4571805598.51";"000088";"2009"
"13453440336.45";"000089";"2019"
"13116875855.06";"000089";"2018"
"12479875588.52";"000089";"2017"
"11955019714";"000089";"2016"
"12697555048.16";"000089";"2015"
"11861319705.03";"000089";"2014"
"10402527007.45";"000089";"2013"
"9164060105.7";"000089";"2012"
"6536070906.86";"000089";"2011"
"5790766696.75";"000089";"2010"
"5430860250.01";"000089";"2009"
"31741153852.99";"000090";"2019"
"25792684808.71";"000090";"2018"
"19290633521.02";"000090";"2017"
"16553824056";"000090";"2016"
"11027294623.55";"000090";"2015"
"9791523331.14";"000090";"2014"
"8578279498.58";"000090";"2013"
"7500246124.09";"000090";"2012"
"10160244762";"000090";"2011"
"5889767536.62";"000090";"2010"
"5391522070.96";"000090";"2009"
"2646942783.24";"000096";"2019"
"2553163400.19";"000096";"2018"
"2429874391.24";"000096";"2017"
"2217052224.23";"000096";"2016"
"2033060595.18";"000096";"2015"
"2048363186.09";"000096";"2014"
"1990096977.82";"000096";"2013"
"1989784859.67";"000096";"2012"
"1873833458";"000096";"2011"
"1838548289.9";"000096";"2010"
"1680879536.15";"000096";"2009"
"5663561786.44";"000099";"2019"
"5621430808.47";"000099";"2018"
"4893194780.52";"000099";"2017"
"4961759740.07";"000099";"2016"
"4454437637.45";"000099";"2015"
"3839990380.87";"000099";"2014"
"3531026379.73";"000099";"2013"
"2710934126.06";"000099";"2012"
"2516411724.8";"000099";"2011"
"2504105814.33";"000099";"2010"
"2309613436.17";"000099";"2009"
"192763943000";"000100";"2019"
"160293984000";"000100";"2018"
"147136786000";"000100";"2017"
"111754821000";"000100";"2016"
"92876886000";"000100";"2015"
"78080637000";"000100";"2014"
"79744793000";"000100";"2013"
"74014316000";"000100";"2012"
"53478059361";"000100";"2011"
"30234444483";"000100";"2010"
"23192668000";"000100";"2009"
"8274170308.6";"000150";"2019"
"7620286359.71";"000150";"2018"
"7199985576.51";"000150";"2017"
"4549641032.88";"000150";"2016"
"2527722874.17";"000150";"2015"
"2716150934.91";"000150";"2014"
"1655467113.07";"000150";"2013"
"1490036811.72";"000150";"2012"
"1031417431.96";"000150";"2011"
"1113997165.96";"000150";"2010"
"1218866701.09";"000150";"2009"
"2157610693.29";"000151";"2019"
"2156797234.29";"000151";"2018"
"2068733906.34";"000151";"2017"
"2415670229.91";"000151";"2016"
"2919638409.89";"000151";"2015"
"2489911873.49";"000151";"2014"
"1665855018.71";"000151";"2013"
"1185183579.63";"000151";"2012"
"1088238756.18";"000151";"2011"
"1119122585.46";"000151";"2010"
"1155496300.37";"000151";"2009"
"3007997786.47";"000153";"2019"
"2767714922.77";"000153";"2018"
"2490374171.78";"000153";"2017"
"2305280740.34";"000153";"2016"
"2237532801.65";"000153";"2015"
"1981022585.97";"000153";"2014"
"1450487242.98";"000153";"2013"
"1318229738.94";"000153";"2012"
"1275831031.26";"000153";"2011"
"1205473852.71";"000153";"2010"
"1165556031.79";"000153";"2009"
"7229036712.9";"000155";"2019"
"6785208853.26";"000155";"2018"
"2942680355.99";"000155";"2017"
"719809721.68";"000155";"2016"
"1349948717.01";"000155";"2015"
"2933449291.19";"000155";"2014"
"3154875050.22";"000155";"2013"
"3110009612.79";"000155";"2012"
"3377951622.24";"000155";"2011"
"3216630739.89";"000155";"2010"
"2955962219.81";"000155";"2009"
"14773173502.81";"000156";"2019"
"14420294193.3";"000156";"2018"
"14032840971.94";"000156";"2017"
"12674997873.2";"000156";"2016"
"5558177257.29";"000156";"2015"
"5084532539.89";"000156";"2014"
"3383570965.58";"000156";"2013"
"286455023.17";"000156";"2012"
"297489769.2";"000156";"2011"
"352121467.04";"000156";"2010"
"352635346.28";"000156";"2009"
"93456651846.14";"000157";"2019"
"83149067653.62";"000157";"2018"
"89141023453.16";"000157";"2017"
"93723020007.67";"000157";"2016"
"93757955793.25";"000157";"2015"
"89537157719.77";"000157";"2014"
"88974464566.71";"000157";"2013"
"71581771679.19";"000157";"2012"
"62995275498.09";"000157";"2011"
"33914557915.31";"000157";"2010"
"23030798922.85";"000157";"2009"
"14142745019.87";"000158";"2019"
"12789214507.47";"000158";"2018"
"12804191551.46";"000158";"2017"
"10941863134.93";"000158";"2016"
"5553163381.02";"000158";"2015"
"5773239230.75";"000158";"2014"
"5716866936.8";"000158";"2013"
"5291113612.44";"000158";"2012"
"4742241285.22";"000158";"2011"
"4271616643.19";"000158";"2010"
"4354710106.92";"000158";"2009"
"2740064973.53";"000159";"2019"
"3037869009.5";"000159";"2018"
"3116249830.61";"000159";"2017"
"2948995537.59";"000159";"2016"
"2968258457.12";"000159";"2015"
"2982997721.16";"000159";"2014"
"2987004896.82";"000159";"2013"
"3177044279.8";"000159";"2012"
"3244591268.19";"000159";"2011"
"2302052348.37";"000159";"2010"
"1843578160.58";"000159";"2009"
"347725034856.6";"000166";"2019"
"299943298189.36";"000166";"2018"
"275489262612.92";"000166";"2017"
"333569469451.56";"000166";"2016"
"139452499466.75";"000166";"2015"
"70826911411.1";"000166";"2014"
"58378773252.43";"000166";"2013"
"55204857969.68";"000166";"2012"
"66149340298.53";"000166";"2011"
"86491744616.03";"000166";"2010"
"49030727741.77";"000166";"2009"
"21869243473.46";"000301";"2019"
"4415328793.21";"000301";"2018"
"4967757515.62";"000301";"2017"
"4397330473.23";"000301";"2016"
"3986897644.87";"000301";"2015"
"3666707310.75";"000301";"2014"
"3582781837.18";"000301";"2013"
"3482567651.39";"000301";"2012"
"3742525147.61";"000301";"2011"
"3874440600.06";"000301";"2010"
"3813479769.39";"000301";"2009"
"263701148000";"000333";"2019"
"248106858000";"000333";"2018"
"170600711000";"000333";"2017"
"128841935000";"000333";"2016"
"120292088160";"000333";"2015"
"96946024770";"000333";"2014"
"87736526980";"000333";"2013"
"52065829973.51";"000333";"2010"
"35898659436.71";"000333";"2009"
"205276365174.18";"000338";"2019"
"189638166629.52";"000338";"2018"
"163990680528.94";"000338";"2017"
"114873387806.95";"000338";"2016"
"120411751686.07";"000338";"2015"
"78521808732.21";"000338";"2014"
"66320362850.69";"000338";"2013"
"61544547420.24";"000338";"2012"
"52159850642.13";"000338";"2011"
"36218151152.79";"000338";"2010"
"29267735079.54";"000338";"2009"
"14576908666.7";"000400";"2019"
"15308720878.81";"000400";"2018"
"14300836589.93";"000400";"2017"
"12487336801.66";"000400";"2016"
"10792195753.97";"000400";"2015"
"8290920937.11";"000400";"2014"
"6925570212.57";"000400";"2013"
