"tuobinQ";"ts_code";"time"
"1.136118";"000059";"2014"
"1.088817";"000059";"2015"
"1.221796";"000059";"2016"
"1.072875";"000059";"2017"
"0.869618";"000059";"2018"
"0.849944";"000059";"2019"
"3.044439";"000060";"2009"
"3.062058";"000060";"2010"
"1.733968";"000060";"2011"
"1.821926";"000060";"2012"
"1.457578";"000060";"2013"
"1.916972";"000060";"2014"
"2.35813";"000060";"2015"
"1.96924";"000060";"2016"
"1.796756";"000060";"2017"
"1.175205";"000060";"2018"
"1.196076";"000060";"2019"
"1.636296";"000061";"2009"
"1.904413";"000061";"2010"
"1.465004";"000061";"2011"
"1.332456";"000061";"2012"
"1.541578";"000061";"2013"
"2.101851";"000061";"2014"
"2.405504";"000061";"2015"
"1.851982";"000061";"2016"
"1.349377";"000061";"2017"
"1.086235";"000061";"2018"
"1.133359";"000061";"2019"
"1.463137";"000062";"2009"
"1.253096";"000062";"2010"
"1.112618";"000062";"2011"
"1.48454";"000062";"2012"
"2.210664";"000062";"2013"
"2.912491";"000062";"2014"
"4.398169";"000062";"2015"
"3.191883";"000062";"2016"
"2.346002";"000062";"2017"
"1.666238";"000062";"2018"
"1.808013";"000062";"2019"
"1.752931";"000063";"2009"
"1.502671";"000063";"2010"
"1.245408";"000063";"2011"
"1.082563";"000063";"2012"
"1.173428";"000063";"2013"
"1.274579";"000063";"2014"
"1.229319";"000063";"2015"
"1.1494";"000063";"2016"
"1.609127";"000063";"2017"
"1.311329";"000063";"2018"
"1.649357";"000063";"2019"
"2.727307";"000065";"2009"
"2.300785";"000065";"2010"
"1.593003";"000065";"2011"
"1.245734";"000065";"2012"
"1.468976";"000065";"2013"
"1.693989";"000065";"2014"
"1.658182";"000065";"2016"
"1.361797";"000065";"2017"
"1.092885";"000065";"2018"
"1.066633";"000065";"2019"
"1.022849";"000066";"2009"
"1.029794";"000066";"2010"
"0.951821";"000066";"2011"
"0.935517";"000066";"2012"
"0.906399";"000066";"2013"
"0.978179";"000066";"2014"
"1.17034";"000066";"2016"
"1.773876";"000066";"2017"
"1.385229";"000066";"2018"
"2.448832";"000066";"2019"
"6.290493";"000068";"2009"
"8.936268";"000068";"2010"
"10.171912";"000068";"2012"
"9.020397";"000068";"2013"
"19.349969";"000068";"2014"
"15.211806";"000068";"2015"
"6.135717";"000068";"2016"
"2.26796";"000068";"2017"
"1.970471";"000068";"2018"
"1.855819";"000068";"2019"
"1.586578";"000069";"2009"
"1.199474";"000069";"2010"
"1.148084";"000069";"2011"
"1.191279";"000069";"2012"
"1.053334";"000069";"2013"
"1.125157";"000069";"2014"
"1.082759";"000069";"2015"
"1.045457";"000069";"2016"
"1.014429";"000069";"2017"
"0.936183";"000069";"2018"
"0.929928";"000069";"2019"
"2.328205";"000070";"2009"
"2.138487";"000070";"2010"
