"edu";"ts_code";"time"
"1.85";"000040.SZ";"2012"
"0.8333333333333334";"000040.SZ";"2013"
"2";"000040.SZ";"2014"
"2.4038461538461537";"000040.SZ";"2015"
"2.8";"000040.SZ";"2016"
"2.8";"000040.SZ";"2017"
"2.6666666666666665";"000040.SZ";"2018"
"2.8461538461538463";"000040.SZ";"2019"
"2.8461538461538463";"000040.SZ";"2020"
"2.588235294117647";"000042.SZ";"2009"
"1.5";"000042.SZ";"2010"
"3";"000042.SZ";"2011"
"2.2";"000042.SZ";"2012"
"2.90625";"000042.SZ";"2013"
"2.6";"000042.SZ";"2014"
"2.6";"000042.SZ";"2015"
"3";"000042.SZ";"2016"
"3.1875";"000042.SZ";"2017"
"3.1666666666666665";"000042.SZ";"2018"
"3.1666666666666665";"000042.SZ";"2019"
"3.1666666666666665";"000042.SZ";"2020"
"2.8";"000045.SZ";"2009"
"3.1785714285714284";"000045.SZ";"2010"
"2.75";"000045.SZ";"2011"
"2.75";"000045.SZ";"2012"
"2";"000045.SZ";"2013"
"2";"000045.SZ";"2014"
"2.8";"000045.SZ";"2015"
"2.8";"000045.SZ";"2016"
"3";"000045.SZ";"2017"
"3";"000045.SZ";"2018"
"2";"000045.SZ";"2019"
"2";"000045.SZ";"2020"
"3";"000046.SZ";"2009"
"3";"000046.SZ";"2010"
"3.232142857142857";"000046.SZ";"2011"
"2.6";"000046.SZ";"2012"
"2.75";"000046.SZ";"2013"
"2.909090909090909";"000046.SZ";"2014"
"3.2714285714285714";"000046.SZ";"2015"
"2.75";"000046.SZ";"2016"
"3.0714285714285716";"000046.SZ";"2017"
"3";"000046.SZ";"2018"
"3.357142857142857";"000046.SZ";"2019"
"3.357142857142857";"000046.SZ";"2020"
"2.575";"000048.SZ";"2009"
"2.575";"000048.SZ";"2010"
"2";"000048.SZ";"2011"
"3.12";"000048.SZ";"2012"
"4";"000048.SZ";"2013"
"2.8333333333333335";"000048.SZ";"2014"
"3.25";"000048.SZ";"2015"
"3.25";"000048.SZ";"2016"
"3.25";"000048.SZ";"2017"
"2.6607142857142856";"000048.SZ";"2018"
"3";"000048.SZ";"2019"
"3";"000048.SZ";"2020"
"2.0555555555555554";"000049.SZ";"2009"
"2";"000049.SZ";"2010"
"2";"000049.SZ";"2011"
"3";"000049.SZ";"2012"
"1.5217391304347827";"000049.SZ";"2013"
"2.7333333333333334";"000049.SZ";"2014"
"0.7777777777777778";"000049.SZ";"2015"
"2.5";"000049.SZ";"2016"
"2";"000049.SZ";"2017"
"2";"000049.SZ";"2018"
"3";"000049.SZ";"2019"
"3";"000049.SZ";"2020"
"2.7";"000050.SZ";"2009"
"3.25";"000050.SZ";"2010"
"2";"000050.SZ";"2011"
"2.5";"000050.SZ";"2012"
"3.096774193548387";"000050.SZ";"2013"
"3.096774193548387";"000050.SZ";"2014"
"3.096774193548387";"000050.SZ";"2015"
"3.5";"000050.SZ";"2016"
"3.3333333333333335";"000050.SZ";"2017"
"2.75";"000050.SZ";"2018"
"2";"000050.SZ";"2019"
"2";"000050.SZ";"2020"
"2.625";"000055.SZ";"2009"
"2";"000055.SZ";"2010"
"2.3529411764705883";"000055.SZ";"2011"
"1";"000055.SZ";"2012"
"1";"000055.SZ";"2013"
"3.1818181818181817";"000055.SZ";"2014"
"3.1818181818181817";"000055.SZ";"2015"
"4";"000055.SZ";"2016"
"2.5833333333333335";"000055.SZ";"2017"
"2";"000055.SZ";"2018"
"2";"000055.SZ";"2019"
"2";"000055.SZ";"2020"
"2.3333333333333335";"000056.SZ";"2009"
"2.230769230769231";"000056.SZ";"2010"
"1.5";"000056.SZ";"2011"
"2";"000056.SZ";"2012"
"3.5555555555555554";"000056.SZ";"2013"
"2";"000056.SZ";"2014"
"2";"000056.SZ";"2015"
"2.742857142857143";"000056.SZ";"2016"
"2";"000056.SZ";"2017"
"3.2142857142857144";"000056.SZ";"2018"
"2";"000056.SZ";"2019"
"2";"000056.SZ";"2020"
"2.5238095238095237";"000058.SZ";"2009"
"2.46875";"000058.SZ";"2010"
"3";"000058.SZ";"2011"
"3";"000058.SZ";"2012"
"2.8333333333333335";"000058.SZ";"2013"
"2.3333333333333335";"000058.SZ";"2014"
"2.3333333333333335";"000058.SZ";"2015"
"3.066666666666667";"000058.SZ";"2016"
"3.1333333333333333";"000058.SZ";"2017"
"2.576923076923077";"000058.SZ";"2018"
"2.4285714285714284";"000058.SZ";"2019"
"2.4285714285714284";"000058.SZ";"2020"
"2.7142857142857144";"000059.SZ";"2009"
"2.8666666666666667";"000059.SZ";"2010"
"2.857142857142857";"000059.SZ";"2011"
"2.857142857142857";"000059.SZ";"2012"
"2.25";"000059.SZ";"2013"
"2.6363636363636362";"000059.SZ";"2014"
"3";"000059.SZ";"2015"
"3";"000059.SZ";"2016"
"2.8461538461538463";"000059.SZ";"2017"
"2.7222222222222223";"000059.SZ";"2018"
"2";"000059.SZ";"2019"
"2";"000059.SZ";"2020"
"2.9583333333333335";"000060.SZ";"2009"
"2.9583333333333335";"000060.SZ";"2010"
"3.0294117647058822";"000060.SZ";"2011"
"3";"000060.SZ";"2012"
"3.111111111111111";"000060.SZ";"2013"
"2.7777777777777777";"000060.SZ";"2014"
"3.3529411764705883";"000060.SZ";"2015"
"3";"000060.SZ";"2016"
"2";"000060.SZ";"2017"
"2.7083333333333335";"000060.SZ";"2018"
"2.875";"000060.SZ";"2019"
"2.875";"000060.SZ";"2020"
"2.873015873015873";"000061.SZ";"2009"
"3";"000061.SZ";"2010"
"3";"000061.SZ";"2011"
"3";"000061.SZ";"2012"
"3.0588235294117645";"000061.SZ";"2013"
"2";"000061.SZ";"2014"
"3.3076923076923075";"000061.SZ";"2015"
"3.3076923076923075";"000061.SZ";"2016"
"2.838709677419355";"000061.SZ";"2017"
"2.6";"000061.SZ";"2018"
"3";"000061.SZ";"2019"
"3";"000061.SZ";"2020"
"2.6842105263157894";"000062.SZ";"2009"
"2.1666666666666665";"000062.SZ";"2010"
"3";"000062.SZ";"2011"
"2.6666666666666665";"000062.SZ";"2012"
"2.6666666666666665";"000062.SZ";"2013"
"2.4285714285714284";"000062.SZ";"2014"
"2.2";"000062.SZ";"2015"
"2.3333333333333335";"000062.SZ";"2016"
"2.6666666666666665";"000062.SZ";"2017"
"2.8461538461538463";"000062.SZ";"2018"
"2";"000062.SZ";"2019"
"2";"000062.SZ";"2020"
"2.7857142857142856";"000063.SZ";"2009"
"3.3142857142857145";"000063.SZ";"2010"
"3";"000063.SZ";"2011"
"2.2";"000063.SZ";"2012"
"2.857142857142857";"000063.SZ";"2013"
"3.75";"000063.SZ";"2014"
